Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP2929000Y,15045072,MONTGOMERY,Injury Crash,09/07/2015 07:54:00 AM,No,Maryland (State),West,,2,East,0,FEET,HILL UPHILL,OLNEY LAYTONSVILLE RD,QUEEN ELIZABETH DR,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.15995167,-77.07783667,"(39.15995167, -77.07783667)"
EJ7833003Y,170527903,Gaithersburg Police Depar,Property Damage Crash,08/31/2017 01:30:00 AM,Yes,Municipality,West,,2,East,20,FEET,HILL UPHILL,W DEER PARK RD,MUDDY BRANCH RD,,N/A,,DRIVER,SAME DIR REAR END,CLOUDY,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,N/A,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.13480667,-77.20540333,"(39.13480667, -77.20540333)"
MCP1342001K,170519966,Montgomery County Police,Injury Crash,07/19/2017 01:06:00 PM,No,Maryland (State),South,,2,South,300,FEET,HILL UPHILL,FALLS RD,BELLS MILL RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.03144833,-77.20070333,"(39.03144833, -77.20070333)"
MCP3330000R,220053992,Montgomery County Police,Property Damage Crash,12/07/2022 07:34:00 AM,No,County,East,,4,North,0,FEET,LEVEL,SHADY GROVE RD,SHINING WILLOW DR,,N/A,,DRIVER,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,N/A,,FIXED OBJECT,FIXED OBJECT,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.086414,-77.212961,"(39.086414, -77.212961)"
MCP3156001B,200010843,Montgomery County Police,Property Damage Crash,02/24/2020 11:42:00 AM,No,,,,,,,,,,,UNKNOWN,,,UNKNOWN,UNKNOWN,N/A,,UNKNOWN,UNKNOWN,N/A,,UNKNOWN,UNKNOWN,,,,,,39.04401333,-76.99088833,"(39.04401333, -76.99088833)"
MCP31090078,220036903,Montgomery County Police,Injury Crash,08/26/2022 01:30:00 PM,No,Interstate (State),East,SHOULDER AREA,4,East,100,FEET,LEVEL,CAPITAL BELTWAY,BEGIN BRIDGE,,N/A,,UNKNOWN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.0211975,-77.00799167,"(39.0211975, -77.00799167)"
MCP28710058,180021763,Montgomery County Police,Property Damage Crash,05/03/2018 05:25:00 PM,No,County,East,,3,West,0,FEET,LEVEL,DEMOCRACY BLVD,CROSSOVER,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,OTHER,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02362833,-77.12854167,"(39.02362833, -77.12854167)"
MCP29190060,190039204,Montgomery County Police,Injury Crash,08/16/2019 07:20:00 PM,No,Maryland (State),South,,2,South,0,FEET,HILL CREST,PINEY BRANCH RD,CARROLL AVE,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,"N/A, NONE DETECTED",,OTHER VEHICLE,OTHER VEHICLE,N/A,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0001,-76.99057167,"(39.0001, -76.99057167)"
MCP3348003D,240041593,MONTGOMERY,Injury Crash,09/02/2024 06:22:00 PM,No,County Route,Southbound,Left Turn Lane,3,West,0,FEET,Level,ASPEN HILL RD,PARKLAND DR,,,Pedestrian,DRIVER,Single Vehicle,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use","Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,,Intersection or Related,Perpendicular,Straight,No Defects,Not Divided,39.07915718,-77.08712813,"(39.07915718, -77.08712813)"
MCP3163005Z,230055145,Montgomery County Police,Property Damage Crash,09/15/2023 09:16:00 PM,No,Maryland (State),North,,2,North,0,FEET,LEVEL,OLD GEORGETOWN RD,ROCK SPRING DR,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02669283,-77.12605833,"(39.02669283, -77.12605833)"
MCP14650011,15002145,Montgomery County Police,Injury Crash,01/14/2015 09:05:00 AM,No,County,South,,2,North,0,MILE,GRADE DOWNHILL,KELLY FARM DR,POPLAR HILL RD,,N/A,,DRIVER,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT,N/A,NONE DETECTED,,PARKED VEHICLE,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.10957,-77.30996667,"(39.10957, -77.30996667)"
MCP2704000N,16039967,Montgomery County Police,Property Damage Crash,08/07/2016 02:32:00 AM,Yes,Maryland (State),South,OFF ROAD,3,South,0,FEET,LEVEL,GEORGIA AVE,NORBECK RD,,N/A,,DRIVER,SINGLE VEHICLE,N/A,DRY,DARK LIGHTS ON,OTHER,ALCOHOL PRESENT,,FIXED OBJECT,N/A,OTHER,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,OTHER,39.10925333,-77.07602167,"(39.10925333, -77.07602167)"
MCP28550035,190024172,Montgomery County Police,Property Damage Crash,05/21/2019 08:40:00 PM,Yes,County,North,,2,South,0,FEET,LEVEL,CHERRY HILL RD,CALVERTON BLVD,,N/A,,DRIVER,HEAD ON LEFT TURN,CLEAR,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,"N/A, NONE DETECTED",,OTHER OBJECT,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.05675333,-76.95469,"(39.05675333, -76.95469)"
EJ7863001R,180018842,Gaithersburg Police Depar,Property Damage Crash,04/18/2018 01:01:00 AM,No,Municipality,East,,1,South,20,FEET,LEVEL,RUDIS WAY,CUL DE SAC,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,N/A,ALCOHOL PRESENT,,FIXED OBJECT,OFF ROAD,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.14209333,-77.23321667,"(39.14209333, -77.23321667)"
MCP25360034,200031916,Montgomery County Police,Injury Crash,08/16/2020 02:25:00 AM,No,Maryland (State),South,OTHER,3,North,100,FEET,LEVEL,GEORGIA AVE,ASPEN HILL RD,,N/A,,DRIVER,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,FIXED OBJECT,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08162333,-77.07656167,"(39.08162333, -77.07656167)"
EJ7866001D,170506297,Gaithersburg Police Depar,Injury Crash,05/06/2017 02:35:00 PM,No,Municipality,East,,3,West,50,FEET,GRADE DOWNHILL,ODENDHAL AVE,RUSSELL AVE,,GAITHERSBURG,,DRIVER,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.15021,-77.20436333,"(39.15021, -77.20436333)"
DM8439000R,15043975,TAKOMA,Injury Crash,09/01/2015 05:14:00 PM,No,Municipality,North,,1,North,0,FEET,LEVEL,GARLAND AVE,CARROLL AVE,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,N/A,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.98619167,-76.99647833,"(38.98619167, -76.99647833)"
MCP2995002Q,180001165,Montgomery County Police,Property Damage Crash,01/08/2018 05:35:00 PM,No,Maryland (State),West,,2,South,0.1,MILE,LEVEL,CONNECTICUT AVE,GEORGIA AVE,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,RAINING,WET,DUSK,NO CONTROLS,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,N/A,N/A,N/A,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.08331377,-77.07896233,"(39.08331377, -77.07896233)"
MCP28660080,220043814,Montgomery County Police,Injury Crash,10/07/2022 11:06:00 AM,No,County,North,,2,North,0,FEET,HILL CREST,CRYSTAL ROCK DR,CLOVERLEAF CENTER DR,,N/A,,DRIVER,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.19006401,-77.26656171,"(39.19006401, -77.26656171)"
MCP3143002N,210007883,Montgomery County Police,Property Damage Crash,03/02/2021 02:00:00 PM,No,Municipality,Unknown,UNKNOWN,0,North,0,FEET,UNKNOWN,SEVEN LOCKS RD,ENT: MONTGOMERY COUNTY POLICE ROCKVILLE,,N/A,,UNKNOWN,UNKNOWN,CLEAR,UNKNOWN,DAYLIGHT,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.06593089,-77.15903777,"(39.06593089, -77.15903777)"
