Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP21620048,190049313,Montgomery County Police,Property Damage Crash,10/14/2019 03:46:00 PM,No,County,West,,3,East,75,FEET,LEVEL,BOWIE MILL RD,WICKHAM DR,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,OTHER VEHICLE,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.15491689,-77.09482685,"(39.15491689, -77.09482685)"
MCP3034000N,170507489,Montgomery County Police,Injury Crash,05/12/2017 10:36:00 PM,Yes,Maryland (State),South,UNKNOWN,4,South,0,FEET,LEVEL,PINEY BRANCH RD,GREENWOOD AVE,,N/A,PEDESTRIAN,UNKNOWN,N/A,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,,NONE DETECTED,PEDESTRIAN,N/A,N/A,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99821,-77.00249833,"(38.99821, -77.00249833)"
MCP3350002W,240008686,MONTGOMERY,Property Damage Crash,02/22/2024 01:55:00 PM,No,Maryland (State) Route,Northbound,"Lane 1, Lane 2","1, 3",South,53.92,FEET,Level,ROCKVILLE PIKE,,,,,DRIVER,Angle,Cloudy,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Crossover-Related,,Straight,No Defects,"Divided, Raised Median (curbed)",39.02265,-77.10287833,"(39.02265, -77.10287833)"
MCP209400BV,180037217,Montgomery County Police,Injury Crash,07/27/2018 11:21:00 AM,No,Maryland (State),East,,2,West,30,FEET,HILL UPHILL,RIVER RD,NEVIS RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.986235,-77.143715,"(38.986235, -77.143715)"
MCP3145003D,230026048,Montgomery County Police,Property Damage Crash,05/31/2023 09:15:00 AM,No,Maryland (State),South,,3,North,10,FEET,LEVEL,NEW HAMPSHIRE AVE,POWDER MILL RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02259725,-76.97786438,"(39.02259725, -76.97786438)"
MCP2750001F,15026471,Montgomery County Police,Injury Crash,06/01/2015 05:00:00 PM,No,Maryland (State),East,,3,East,0,FEET,LEVEL,VEIRS MILL RD,ENT TO SHOPPING CENTER,,N/A,PEDESTRIAN,UNKNOWN,STRAIGHT MOVEMENT ANGLE,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,PEDESTRIAN,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03717167,-77.05171,"(39.03717167, -77.05171)"
MCP3181002P,240048988,MONTGOMERY,Property Damage Crash,10/13/2024 10:03:00 PM,No,,,,0,,,FEET,,,,Parking Lot Way        PARKING LOT OF 3974 BEL PRE RD,,,DRIVER,Front to Rear,Clear,,Dark - Lighted,,"Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,,,,,,,39.09118932,-77.07780032,"(39.09118932, -77.07780032)"
MCP2919008W,210052524,Montgomery County Police,Property Damage Crash,12/24/2021 06:25:00 PM,No,Maryland (State),North,,3,North,0,FEET,LEVEL,NEW HAMPSHIRE AVE,OAKVIEW DR,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,N/A,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05730833,-77.073335,"(39.05730833, -77.073335)"
MCP1227000L,16062682,Montgomery County Police,Fatal Crash,12/06/2016 05:41:00 PM,No,Municipality,North,,1,South,0,FEET,LEVEL,CHAPMAN AVE,BOUIC AVE,,ROCKVILLE,PEDESTRIAN,UNKNOWN,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,PEDESTRIAN,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.06111552,-77.12100327,"(39.06111552, -77.12100327)"
MCP2991007Q,230007808,Montgomery County Police,Property Damage Crash,02/16/2023 07:45:00 AM,No,Maryland (State),South,LEFT TURN LANE,2,North,0.1,FEET,LEVEL,NEW HAMPSHIRE AVE,HOBBS DR,,N/A,,DRIVER,N/A,N/A,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,N/A,N/A,STRAIGHT,NO DEFECTS,N/A,39.08518167,-76.99971,"(39.08518167, -76.99971)"
MCP3054001J,190046468,Montgomery County Police,Injury Crash,09/28/2019 12:50:00 AM,No,County,North,,2,East,0,FEET,LEVEL,MONTROSE RD,E JEFFERSON ST,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05262167,-77.12614833,"(39.05262167, -77.12614833)"
MCP2399003X,200035075,Montgomery County Police,Injury Crash,09/07/2020 07:09:00 PM,No,County,North,,1,South,0,FEET,LEVEL,WIGHTMAN RD,BELL BLUFF RD,,N/A,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.19890667,-77.20242167,"(39.19890667, -77.20242167)"
MCP2683000X,15024819,Montgomery County Police,Injury Crash,05/23/2015 02:21:00 PM,No,County,North,,3,North,0,FEET,LEVEL,SHADY GROVE RD,CRABBS BRANCH WAY,,N/A,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12897167,-77.16729,"(39.12897167, -77.16729)"
EJ7853000K,15010834,Gaithersburg Police Depar,Property Damage Crash,03/09/2015 08:43:00 AM,No,Maryland (State),East,,3,North,50,FEET,LEVEL,QUINCE ORCHARD RD,W DIAMOND AVE,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,"ALCOHOL CONTRIBUTED, NONE DETECTED",,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.14320028,-77.22061515,"(39.14320028, -77.22061515)"
MCP263900FW,230018643,Montgomery County Police,Property Damage Crash,03/20/2023 10:55:00 AM,No,,,,,,,,,,,8751 SNOUFFER SCHOOL RD FUEL SITE,,,DRIVER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,N/A,,,,,,39.17425888,-77.17791326,"(39.17425888, -77.17791326)"
MCP29420011,15039141,MONTGOMERY,Property Damage Crash,08/06/2015 01:45:00 PM,Yes,Maryland (State),South,,3,South,500,FEET,LEVEL,WISCONSIN AVE,BRADLEY LA,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.97901131,-77.09183693,"(38.97901131, -77.09183693)"
EJ78730012,190027134,Gaithersburg Police Depar,Property Damage Crash,06/06/2019 09:10:00 PM,No,Maryland (State),East,,3,East,0,FEET,LEVEL,W DIAMOND AVE,ENT TO NATIONAL INSTITUTE OF STANDARDS,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.141735,-77.218045,"(39.141735, -77.218045)"
MCP2594006R,210026079,Montgomery County Police,Injury Crash,07/07/2021 01:45:00 PM,No,Maryland (State),South,,3,North,0,FEET,LEVEL,NEW HAMPSHIRE AVE,NORWOOD RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10608424,-77.00157877,"(39.10608424, -77.00157877)"
MCP32690036,240012027,MONTGOMERY,Property Damage Crash,03/13/2024 02:52:00 AM,No,County Route,"Northbound, Southbound","Lane 1, Lane 2",2,South,12.07,FEET,Level,BRAHMS AVE,,,,,DRIVER,Front to Front,Clear,Dry,Dark - Lighted,No Controls,"Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Through Roadway,,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide)",39.07185083,-76.95126814,"(39.07185083, -76.95126814)"
DM82700007,16057312,Takoma Park Police Depart,Property Damage Crash,11/06/2016 08:56:00 PM,No,,,,,,0,,,,,"PARKING LOT OF 7600 CARROLL AVE
WASHINGTON ADVENTIST HOSPITAL",,,DRIVER,HEAD ON LEFT TURN,CLEAR,,DARK LIGHTS ON,N/A,NONE DETECTED,,OTHER VEHICLE,N/A,,,,,,38.98126167,-77.01016,"(38.98126167, -77.01016)"
EJ79060015,240046674,GAITHERSBURG,Injury Crash,09/30/2024 02:52:00 PM,No,Maryland (State) Route,Northbound,Right Turn Lane,4,North,0,FEET,Downhill,QUINCE ORCHARD RD,CLOPPER RD,,,,DRIVER,Front to Rear,Rain,Wet,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,Not Divided,39.14252634,-77.22089102,"(39.14252634, -77.22089102)"
MCP3404001F,240032893,MONTGOMERY,Property Damage Crash,07/12/2024 12:41:00 PM,No,Maryland (State) Route,Eastbound,Lane 3,"3, 4",South,44.17,FEET,Level,UNIVERSITY BLVD W,,,,,DRIVER,Front to Rear,Rain,Wet,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",39.02451675,-77.01866986,"(39.02451675, -77.01866986)"
MCP16190016,15038099,MONTGOMERY,Property Damage Crash,08/01/2015 11:50:00 AM,No,Maryland (State),North,,3,South,,FEET,LEVEL,WISCONSIN AVE,ROSEDALE AVE,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.991955,-77.09588333,"(38.991955, -77.09588333)"
MCP3094003F,230072421,Montgomery County Police,Injury Crash,12/18/2023 05:02:00 PM,No,County,West,,1,North,0,FEET,LEVEL,WASHINGTON GROVE LA,MIDCOUNTY HWY,,N/A,,DRIVER,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.14807667,-77.16816833,"(39.14807667, -77.16816833)"
MCP3352002S,250018954,MONTGOMERY,Property Damage Crash,04/30/2025 01:40:00 PM,No,County Route,Northbound,Lane 1,2,North,7.88,FEET,Level,MONTGOMERY VILLAGE AVE (SB/L),CENTER CT,,,Cyclist (Electric),DRIVER,Single Vehicle,Clear,Dry,Daylight,No Controls,"Unknown, Unknown","Not Suspect of Alcohol Use, Not Suspect of Drug Use",Other Non-Fixed Object,,Crossover-Related,,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide)",39.16801402,-77.20505374,"(39.16801402, -77.20505374)"
MCP2969004G,180006100,Montgomery County Police,Injury Crash,02/05/2018 07:25:00 AM,No,County,East,,1,North,150,FEET,GRADE DOWNHILL,TUCKER LA,STRILEY DR,,N/A,PEDESTRIAN,DRIVER,SAME DIRECTION SIDESWIPE,SLEET,ICE,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,PEDESTRIAN,OTHER VEHICLE,N/A,N/A,STRAIGHT,OTHER,"TWO-WAY, NOT DIVIDED",39.145495,-76.99159167,"(39.145495, -76.99159167)"
MCP242500DG,190002631,Montgomery County Police,Property Damage Crash,01/17/2019 07:24:00 AM,No,US (State),South,,3,North,20,FEET,HILL UPHILL,COLUMBIA PIKE,CROSSOVER,,N/A,,DRIVER,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.047755,-76.98540167,"(39.047755, -76.98540167)"
DD5603004B,170522603,Rockville Police Departme,Property Damage Crash,08/02/2017 06:50:00 PM,No,Interstate (State),East,OTHER,1,North,0,FEET,LEVEL,EISENHOWER MEMORIAL HWY,RAMP 6 FR MD 28 EB TO IS 270 SB,,N/A,,DRIVER,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,N/A,INTERSECTION RELATED,OTHER,STRAIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.08702,-77.17231,"(39.08702, -77.17231)"
MCP3390001H,250000410,MONTGOMERY,Property Damage Crash,01/03/2025 06:43:00 PM,No,Maryland (State) Route,Westbound,Lane 1,2,West,21.44,FEET,Downhill,,,,,,DRIVER,Single Vehicle,Snow,Snow,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Guardrail Face,,Non-Junction,,Curve Left,No Defects,Not Divided,39.200036,-77.30531483,"(39.200036, -77.30531483)"
MCP2970002L,170504265,Montgomery County Police,Injury Crash,04/26/2017 07:06:00 AM,No,Maryland (State),South,,3,North,20,FEET,LEVEL,GEORGIA AVE,HICKERSON DR,,N/A,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,N/A,,OTHER VEHICLE,N/A,N/A,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.04171167,-77.05212333,"(39.04171167, -77.05212333)"
DD5571000H,250015693,ROCKVILLE,Property Damage Crash,04/10/2025 05:15:00 PM,No,Municipality Route,"Eastbound, Southbound",Lane 1,2,East,12.29,FEET,Level,WOOTTON PKWY (EB/L),,,,,DRIVER,Front to Front,Freezing Rain Or Freezing Drizzle,Wet,Daylight,"No Controls, Stop Sign","Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,,,"Curve Left, Straight",No Defects,"Not Divided, Unknown",39.07581475,-77.14021429,"(39.07581475, -77.14021429)"
MCP3411002J,250028210,MONTGOMERY,Property Damage Crash,06/24/2025 06:36:00 PM,No,Maryland (State) Route,Northbound,"Lane 2, Lane 3",3,North,17.81,FEET,Level,ROCKVILLE PIKE,,,,,DRIVER,Angle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",38.99671126,-77.09649471,"(38.99671126, -77.09649471)"
MCP31640028,190051773,Montgomery County Police,Property Damage Crash,10/28/2019 06:40:00 AM,No,County,West,,3,East,0,FEET,LEVEL,RANDOLPH RD,CONNECTICUT AVE,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAWN,TRAFFIC SIGNAL,N/A,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.057315,-77.074305,"(39.057315, -77.074305)"
MCP3311002B,240012576,MONTGOMERY,Property Damage Crash,03/15/2024 09:24:00 PM,No,Maryland (State) Route,Southbound,Lane 1,1,East,15.39,FEET,Level,,,,,,DRIVER,Front to Rear,Rain,Wet,Dark - Lighted,Other Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Not Applicable,Non-Junction,,Straight,Not Applicable,Not Divided,38.99132167,-77.01030067,"(38.99132167, -77.01030067)"
MCP22380007,180053204,Montgomery County Police,Property Damage Crash,10/24/2018 06:01:00 AM,No,Maryland (State),North,,4,North,0,FEET,GRADE DOWNHILL,LAYHILL RD,LONGMEAD CROSSING DR,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,,ANIMAL,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.09537671,-77.04456573,"(39.09537671, -77.04456573)"
MCP29420039,180007755,Montgomery County Police,Property Damage Crash,02/14/2018 02:13:00 PM,No,Maryland (State),North,,3,North,0,FEET,GRADE DOWNHILL,ROCKVILLE PIKE,WILSON DR,,N/A,,DRIVER,SAME DIR REAR END,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.00218333,-77.097175,"(39.00218333, -77.097175)"
MCP31640059,220005414,Montgomery County Police,Property Damage Crash,02/08/2022 08:25:00 AM,No,County,South,,1,South,0,FEET,LEVEL,HILLSBORO DR,S BELGRADE RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,N/A,N/A,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.04065833,-77.023775,"(39.04065833, -77.023775)"
MCP3133005F,240039889,MONTGOMERY,Property Damage Crash,08/23/2024 12:45:00 PM,,,,,0,,,FEET,,,,Parking Lot Way        PARKING LOT OF GIANT AT 11221 NEW HAMPSHIRE AVE,,,DRIVER,"Sideswipe, Opposite Direction",Clear,,Daylight,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,Motor Vehicle In Transport,,,,,,39.07640353,-77.00346246,"(39.07640353, -77.00346246)"
MCP26220030,220022852,Montgomery County Police,Property Damage Crash,05/28/2022 02:30:00 PM,No,,,,,,,,,,,PARKING LOT OF 13900 OLD COLUMBIA PIKE,,,DRIVER,OTHER,N/A,,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,N/A,,,,,,39.085413,-76.95159,"(39.085413, -76.95159)"
MCP2940006N,230046969,Montgomery County Police,Injury Crash,07/30/2023 02:25:00 PM,No,County,South,,2,North,0.25,MILE,GRADE DOWNHILL,BANNOCKBURN DR,MACARTHUR BLVD,,N/A,BICYCLIST,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,BICYCLE,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.97293233,-77.1414305,"(38.97293233, -77.1414305)"
MCP2436008C,190044177,Montgomery County Police,Property Damage Crash,09/15/2019 11:10:00 AM,No,US (State),South,,3,North,0,FEET,GRADE DOWNHILL,COLUMBIA PIKE,HILLWOOD DR,,N/A,,DRIVER,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03230333,-77.00376833,"(39.03230333, -77.00376833)"
MCP2689000W,15022459,Montgomery County Police,Injury Crash,05/11/2015 02:48:00 PM,No,Maryland (State),North,,3,North,0,FEET,LEVEL,FREDERICK RD,REDLAND RD,,N/A,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11568,-77.16621333,"(39.11568, -77.16621333)"
DD5674000D,240046144,ROCKVILLE,Property Damage Crash,09/27/2024 11:50:00 AM,No,Municipality Route,"Eastbound, Northbound","Lane 1, Lane 3","2, 3",North,0,FEET,Level,MT VERNON PL,ROCKVILLE PIKE,,,,DRIVER,Angle,Cloudy,Wet,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,"Other Post, Pole, Or Support",Intersection or Related,Perpendicular,Straight,No Defects,Not Divided,39.07887711,-77.14177788,"(39.07887711, -77.14177788)"
MCP2656005Y,220019955,Montgomery County Police,Property Damage Crash,05/10/2022 11:30:00 PM,No,Interstate (State),South,,4,South,0.5,MILE,LEVEL,EISENHOWER MEMORIAL HWY,MIDDLEBROOK RD,,N/A,,UNKNOWN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,N/A,N/A,,OTHER,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.17952553,-77.2502639,"(39.17952553, -77.2502639)"
MCP13420013,16040911,Montgomery County Police,Property Damage Crash,08/12/2016 12:25:00 PM,No,County,South,,2,North,0,FEET,LEVEL,DUFIEF MILL RD,FLINTS GROVE LA,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,FIXED OBJECT,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.09389,-77.233435,"(39.09389, -77.233435)"
MCP1151009L,190025757,Montgomery County Police,Property Damage Crash,05/30/2019 08:18:00 AM,No,County,South,,3,South,15,FEET,LEVEL,SHADY GROVE RD,GAITHER RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.1175449,-77.1885899,"(39.1175449, -77.1885899)"
MCP2608005H,240001806,MONTGOMERY,Property Damage Crash,01/11/2024 07:01:00 PM,No,County Route,Eastbound,Lane 2,2,North,9.26,FEET,Level,FLOWER AVE,,,,,UNKNOWN,"Sideswipe, Same Direction",Clear,Dry,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Not Applicable,Non-Junction,,Straight,No Defects,"Divided, Depressed Median",38.99835106,-77.00361028,"(38.99835106, -77.00361028)"
MCP28240014,15010073,Montgomery County Police,Property Damage Crash,02/26/2015 05:55:00 PM,Yes,,,,,,0,,,,,"Commuter parking lot at I-270 & MD 124 (Quince
Orchard Road)",,,DRIVER,OTHER,SNOW,,DAYLIGHT,NO CONTROLS,N/A,,PARKED VEHICLE,N/A,,,,,,39.14796,-77.218149,"(39.14796, -77.218149)"
MCP3161001S,190048151,Montgomery County Police,Injury Crash,10/07/2019 03:39:00 PM,No,Maryland (State),North,,3,East,0,FEET,LEVEL,UNIVERSITY BLVD W,PERRY AVE,,KENSINGTON,PEDESTRIAN,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,OTHER VEHICLE,PEDESTRIAN,INTERSECTION,FOUR-WAY INTERSECTION,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03274833,-77.07378833,"(39.03274833, -77.07378833)"
MCP30640015,180023537,Montgomery County Police,Property Damage Crash,05/13/2018 01:30:00 PM,No,,,,,,,,,,,"FIRE STATION'S PARKING BAY @ 
2400 ARCOLA AVE, SILVER SPRING, MD 20902",,,UNKNOWN,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,N/A,NONE DETECTED,,FIXED OBJECT,N/A,,,,,,39.0470735,-77.05127483,"(39.0470735, -77.05127483)"
MCP1565001F,15051627,MONTGOMERY,Property Damage Crash,10/11/2015 07:47:00 PM,No,Maryland (State),North,,3,North,0,FEET,HILL UPHILL,CONNECTICUT AVE,ENT TO ASPEN HILLS SHOPPING CTR,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07829333,-77.08055,"(39.07829333, -77.08055)"
