Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP2937000L,15030379,MONTGOMERY,Injury Crash,06/22/2015 08:58:00 AM,County,BRIGGS CHANEY RD,CASTLE BLVD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,F5434AA1-C9E5-424A-BE4C-584964583BA4,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,DCC9C6D0-6F8A-408D-A8E9-49FC47907AD6,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,0,No,No,2015,CHEVROLET,CRUZE,39.08109848,-76.94620371,"(39.08109848, -76.94620371)"
MCP2162004T,200037556,Montgomery County Police,Property Damage Crash,09/24/2020 02:41:00 PM,County,THORNHURST DR,THORNBERRY LA,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,658C5243-C8A9-446E-95A1-4B17A78D5380,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,DC,58803384-4977-4C77-AEE8-BF49FB1B8E54,FUNCTIONAL,THREE OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",PASSING,East,25,No,No,2019,MERZ,SPRINTER,39.16157333,-77.085875,"(39.16157333, -77.085875)"
MCP3233004C,230068803,Montgomery County Police,Injury Crash,11/28/2023 07:35:00 PM,Maryland (State),UNIVERSITY BLVD E,FRANKLIN AVE,,N/A,,SAME DIR REAR END,CLEAR,ICE,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,BFE0B052-54D1-4C0D-AEBA-B7AE6E7DA36D,No,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",NOT DISTRACTED,MD,F094D228-8CE6-40BC-9424-379F6B4D1A66,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,35,No,No,0,CHEVY,TRUCK,39.01358832,-77.00349584,"(39.01358832, -77.00349584)"
MCP10640084,180053676,Montgomery County Police,Injury Crash,10/26/2018 02:16:00 PM,County,E RANDOLPH RD,TOURMALINE CT,,N/A,,SAME DIRECTION LEFT TURN,CLOUDY,DRY,DAYLIGHT,N/A,N/A,,87235AF5-F133-495C-A074-1621CD4C61DD,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,F743A440-E06E-4676-A0BC-B713E56984B5,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,40,No,No,2008,MERZ,E350 4S,39.06596333,-76.97396,"(39.06596333, -76.97396)"
MCP3068004T,230023555,Montgomery County Police,Property Damage Crash,05/16/2023 07:20:00 PM,County,RUGBY AVE,AUBURN AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DUSK,N/A,N/A,,E1C3CDA2-38A1-4461-9D0A-FE00D95E9E15,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,3D134609-D6D2-4EBC-8CBF-11268B20A108,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,25,No,No,2008,TOYT,COROLLA,38.9908325,-77.09825233,"(38.9908325, -77.09825233)"
MCP11480010,15050586,MONTGOMERY,Property Damage Crash,10/06/2015 10:49:00 AM,Maryland (State),BRADLEY BLVD,STRATHMORE ST,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,DA775C8A-8BF3-48EA-BD54-738A434995A7,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,86F99B30-4BC1-4FF2-8FFC-FCD12BEA0286,SUPERFICIAL,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,No,No,2015,VOLKS,GTI,38.97756667,-77.09194,"(38.97756667, -77.09194)"
MCP1099000P,16010261,MONTGOMERY,Injury Crash,03/01/2016 03:15:00 PM,Maryland (State),WOODFIELD RD,LINDBERGH DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,CC8F4C74-B6A2-47F3-9302-CDFA28FD2D97,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,18B2F491-187D-4F6B-881E-471F72F099DA,DISABLING,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,45,No,No,1998,TOYOTA,COROLLA,39.14582966,-77.14429021,"(39.14582966, -77.14429021)"
MCP229800PG,190046839,Montgomery County Police,Injury Crash,09/30/2019 01:00:00 PM,County,MIDDLEBROOK RD,GREAT SENECA HWY,,N/A,,SAME DIRECTION RIGHT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,C297D904-F891-413A-A930-2FAE76C95360,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,630F6026-2B73-4A9A-A29C-7851C185F162,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,30,No,No,2004,LEXUS,RX330,39.17492999,-77.26140449,"(39.17492999, -77.26140449)"
DD56010012,15036796,ROCKVILLE,Property Damage Crash,07/25/2015 08:34:00 PM,Maryland (State),VEIRS MILL RD,EDMONSTON DR,,ROCKVILLE,,SINGLE VEHICLE,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,ALCOHOL CONTRIBUTED,,6611C12B-9E01-4A93-AB16-5B7635B0CAE0,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,04D8480E-D2D2-419D-8847-81DF805CF904,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,No,No,2014,CADILLAC,4S,39.078592,-77.130986,"(39.078592, -77.130986)"
MCP2951000V,15060487,MONTGOMERY,Property Damage Crash,11/26/2015 11:47:00 AM,Maryland (State),NEW HAMPSHIRE AVE,SAPLING RIDGE LA,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,EC0221A8-C5CA-4D1D-A5DD-C48E5380EEB7,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,7C219DB7-00B9-4D54-951A-E6FFE5325480,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,45,No,No,1998,HONDA,ACCORD,39.21939333,-77.057765,"(39.21939333, -77.057765)"
MCP2919001R,16034756,Montgomery County Police,Property Damage Crash,07/09/2016 09:55:00 AM,Maryland (State),GEORGIA AVE,NOYES DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,,571E2DE6-B8FB-4845-BC02-73E80DE80332,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,93C3B593-589E-441A-9705-C95CFDEA9BC7,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,35,No,No,2001,HONDA,TRUCK,39.00230333,-77.0352,"(39.00230333, -77.0352)"
MCP3090008F,250019272,MONTGOMERY,Injury Crash,05/02/2025 04:42:00 PM,County Route,MIDCOUNTY HWY,WASHINGTON GROVE LA (SB/L),,,,Angle,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,A0102B40-6E25-4B37-82CE-2F31338705AE,Yes,No Apparent Injury,,Unknown,MD,CDCAF2C6-E5FB-4CCD-8E00-0EE017BE6A4B,Disabling,Two O Clock,Passenger Car,Turning Left,Northbound,45,No,No,2016,TOYOTA,COROLLA,39.14744658,-77.16918984,"(39.14744658, -77.16918984)"
DD5612005H,240031060,ROCKVILLE,Injury Crash,07/01/2024 02:54:00 PM,Municipality Route,GREAT FALLS RD,FALLS RD MARYLAND AVE POTOMAC VALLEY RD,,,,Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,771A7815-001D-4886-AB00-62CA5A10CF72,No,Suspected Minor Injury,,Not Distracted,MD,7352DB5A-07E3-4323-8BB1-03CC58492A4B,Disabling,Seven O Clock,Passenger Car,Stopped in Traffic,Northbound,35,No,,2004,TOYOTA,CAMRY,39.07598164,-77.16242412,"(39.07598164, -77.16242412)"
MCP3052004H,250011668,MONTGOMERY,Injury Crash,03/17/2025 02:15:00 PM,County Route,SAM EIG HWY (SB/L),,,,,Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,87FEFB90-F613-4014-871D-135C30292F59,No,No Apparent Injury,,Not Distracted,MD,0A2B0D66-8CD1-4901-8245-BF6C6178DAE1,Superficial,Six O Clock,Other Trucks,Slowing or Stopping,Westbound,50,No,No,1997,FORD,LTL9000,39.10922258,-77.21211044,"(39.10922258, -77.21211044)"
MCP297700BJ,230001654,Montgomery County Police,Property Damage Crash,01/11/2023 07:41:00 AM,Maryland (State),NEW HAMPSHIRE AVE,OVERLOOK DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,92321CAD-61F2-4564-B1F9-D13CA6D15E2E,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,WA,D453D4A8-DCA7-46F2-A01A-490214766D6C,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,40,No,No,2014,TOYT,PRIUS,39.02364667,-76.97858167,"(39.02364667, -76.97858167)"
MCP229800N9,190022080,Montgomery County Police,Injury Crash,05/10/2019 02:15:00 PM,Maryland (State),FREDERICK RD,SCENERY DR,,N/A,,ANGLE MEETS LEFT TURN,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,9DD7A535-9A05-4A98-AECD-5EE9096BF33B,Yes,POSSIBLE INJURY,"BACKUP DUE TO REGULAR CONGESTION, RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,99346F49-AB01-4276-8A3B-B0E0EFB7A3E1,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,45,No,No,2014,HYUN,ELANTRA,39.17687367,-77.238288,"(39.17687367, -77.238288)"
EJ7829002G,17002661,Gaithersburg Police Depar,Property Damage Crash,01/15/2017 09:30:00 PM,,,,PARKING LOT OF THE 200 BLOCK OF MUDDY BRANCH RAOD,,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,A14E78C5-E369-491F-99E3-093A87BF0720,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,EE3BE87D-1E6C-4549-BDD1-C80A58E79912,SUPERFICIAL,SEVEN OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,25,No,No,2009,HUYN,4D,39.12860333,-77.20655,"(39.12860333, -77.20655)"
MCP0613001F,190031522,Montgomery County Police,Property Damage Crash,07/02/2019 02:20:00 PM,Maryland (State),NORBECK RD,BALTIMORE RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A385DC94-DBB6-4936-A9CA-1C4213A92530,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,26EADC33-B769-436F-84BE-C60EDCE9CD0A,NO DAMAGE,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,45,No,No,2001,PORS,BOXSTER,39.094325,-77.11649333,"(39.094325, -77.11649333)"
MCP2396000N,15011763,Montgomery County Police,Injury Crash,03/15/2015 01:39:00 PM,County,RANDOLPH RD,BUSHEY DR,,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,WET,DAYLIGHT,NO CONTROLS,ALCOHOL PRESENT,,A03E898E-3E12-4A04-9A40-7B5A66A66A67,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,3E9A6583-306F-4668-8134-6FE1B20C2CE8,FUNCTIONAL,NINE OCLOCK,PASSENGER CAR,OTHER,North,35,No,No,2002,MITSUBISHI,DIAMONTE,39.05752833,-77.07620333,"(39.05752833, -77.07620333)"
MCP2597001H,15019728,Montgomery County Police,Property Damage Crash,04/26/2015 08:29:00 PM,County,DEXTER AVE,GEORGIA AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DUSK,NO CONTROLS,NONE DETECTED,,D6DD7CA3-ACC2-4003-8C72-8E182279863A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,EEF9C639-1BEB-4FEC-9180-36156A41D7DF,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,25,No,No,2007,HYUNDAI,SONATA,39.022185,-77.04515833,"(39.022185, -77.04515833)"
MCP3392001M,240056072,MONTGOMERY,Property Damage Crash,11/22/2024 10:57:00 AM,Maryland (State) Route,BONIFANT ST,GEORGIA AVE,,,,"Sideswipe, Same Direction",Unknown,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,70BF65C9-5F3B-4DF8-A6B4-FC7F5621DE04,No,No Apparent Injury,,Not Distracted,MD,8C52C7B2-7AF2-4F8C-B627-8C3882D324E9,Functional,Ten O Clock,Pickup,Moving Constant Speed,Northbound,30,No,No,2024,TOYOTA,TUNDRA,38.99343792,-77.02659018,"(38.99343792, -77.02659018)"
MCP3037000G,17000156,Montgomery County Police,Property Damage Crash,01/01/2017 07:37:00 PM,County,GREENEL RD,TANDEM DR,,N/A,,OPPOSITE DIRECTION SIDESWIPE,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,,12FFDB55-E6DE-4512-8DC6-002C2DA0C2C4,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,77F0138F-1F81-49A7-B52B-E2AC233222C5,SUPERFICIAL,TEN OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,25,No,No,2005,TOYOTA,HIGHLANDER,39.263445,-77.20001167,"(39.263445, -77.20001167)"
MCP9301005B,240031829,MONTGOMERY,Injury Crash,07/06/2024 11:40:00 AM,Municipality Route,KENTLANDS BLVD (NB/L),,,,,"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,7A0E5FCB-4F1F-4C8D-9AD2-035A1626D145,Yes,No Apparent Injury,,Not Distracted,MD,8191FED7-F147-4C65-BA9D-8C3DA1D1A1A2,Superficial,One O Clock,Other Trucks,Turning Right,Northbound,25,No,No,2010,MACK,UNKNOWN,39.12469939,-77.24130855,"(39.12469939, -77.24130855)"
MCP2812005W,210032771,Montgomery County Police,Property Damage Crash,08/22/2021 05:19:00 PM,,,,PARKING GARAGE OF 801 ELLSWORTH DRIVE,,,SAME DIRECTION SIDESWIPE,N/A,,DAYLIGHT,NO CONTROLS,N/A,,E0779EDE-4E50-4A05-86BD-06FD4D2E511C,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,60DD0994-FDD3-479A-917B-046D8E120EB6,FUNCTIONAL,ELEVEN OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,Unknown,15,No,No,2021,HOND,SD,38.98927667,-77.022585,"(38.98927667, -77.022585)"
DM8515001F,250020540,TAKOMA,Property Damage Crash,05/09/2025 10:00:00 PM,,,,"Parking Lot Way        WING STOP PARKING LOT 

7659 NEW HAMPSHIRE AVE, TAKOMA PARK MD 20912",,,Front to Rear,Clear,,Dark - Lighted,,"Unknown, Unknown",,33ED5D17-6B73-490E-BF7F-B12928791DC8,No,,,,,00E5D3FA-CC4C-498E-BB22-00A9FD965AF3,Vehicle Not at Scene,Vehicle Not at Scene,Passenger Car,Backing,Not On Roadway,0,No,No,2008,TOYOTA,COROLLA,38.98732515,-76.98763461,"(38.98732515, -76.98763461)"
MCP1220004V,170500128,Montgomery County Police,Property Damage Crash,04/03/2017 07:52:00 AM,County,LANARK WAY,COLESVILLE RD,,N/A,,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,FD2A2E95-FF55-4E8C-9B20-99691CA61E87,Yes,NO APPARENT INJURY,N/A,UNKNOWN,DC,6D55D23D-EA48-437F-BA3E-3D974C1B3F9E,SUPERFICIAL,THREE OCLOCK,SCHOOL BUS,MAKING RIGHT TURN,East,30,No,No,2006,THOMAS,SCHOOL BUS,39.01868667,-77.01474333,"(39.01868667, -77.01474333)"
MCP2497000M,16063748,Montgomery County Police,Property Damage Crash,12/12/2016 12:31:00 PM,Maryland (State),RIVER RD,MAIDENS BOWER DR,,N/A,,SAME DIRECTION LEFT TURN,CLOUDY,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,9D6F2FD1-A647-424C-817E-313175E93895,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,5188699D-C89E-4760-AE22-A3990FA79FBB,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,50,No,No,2013,MERZ,SU,39.06359167,-77.29252833,"(39.06359167, -77.29252833)"
MCP29170057,190043370,Montgomery County Police,Property Damage Crash,09/10/2019 03:52:00 PM,County,BRIGGS CHANEY RD,GOOD HOPE RD,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,7C4E8010-04D6-4D0B-862F-DFC13DCF5D0C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,72A82978-32CF-4A8B-BD51-1D718626C2DF,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,40,No,No,2011,TOYOTA,COROLLA,39.10321,-76.98461333,"(39.10321, -76.98461333)"
MCP3074005Z,230065659,Montgomery County Police,Property Damage Crash,11/10/2023 05:37:00 PM,County,HILDAROSE DR,MCKENNEY AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,N/A,,383241DA-C495-4651-9EBA-098B1A138053,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,CDDF145E-4805-41E4-9472-82C6EAFF6B12,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,25,No,No,2010,HONDA,CIVIC,39.020224,-77.04639917,"(39.020224, -77.04639917)"
DD55940037,180025631,Rockville Police Departme,Property Damage Crash,05/25/2018 06:30:00 AM,Maryland (State),FIRST ST,VEIRS MILL RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,6D817786-BBC8-4A64-807B-AD9F36DF088E,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F349B2C5-BB6E-4119-8A7A-CBFF3C85FB2E,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,35,No,No,2004,DODGE,TRUCK,39.07976593,-77.13790655,"(39.07976593, -77.13790655)"
MCP3085005Y,250013740,MONTGOMERY,Injury Crash,03/29/2025 04:53:00 PM,Maryland (State) Route,CONNECTICUT AVE,,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,7B2A5578-8BB5-4286-AB8B-7C8718B936F8,No,Suspected Minor Injury,,Not Distracted,MD,5EF53111-2CB1-4B14-9ECF-0E853651D12D,Disabling,Eleven O Clock,Passenger Car,Slowing or Stopping,Northbound,35,No,No,2023,ACURA,MDX,39.000701,-77.07683,"(39.000701, -77.07683)"
MCP3089002R,190038026,Montgomery County Police,Injury Crash,08/09/2019 04:41:00 PM,County,SPRING ST,16TH ST,,N/A,,OTHER,N/A,DRY,N/A,TRAFFIC SIGNAL,N/A,,51D7101F-611E-4C88-A211-0B45EC1A58B4,Yes,POSSIBLE INJURY,N/A,LOOKED BUT DID NOT SEE,SC,5A7149F4-FE79-4E9C-A2B4-32677ADD9BD7,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,20,No,No,2009,TOYOTA,SACURA,38.99725333,-77.03202333,"(38.99725333, -77.03202333)"
MCP24480004,240052747,MONTGOMERY,Injury Crash,11/03/2024 01:02:00 AM,Maryland (State) Route,NEW HAMPSHIRE AVE (SB/L),,,,,Front to Front,Clear,Dry,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,24CB14F0-DDFA-41FF-AE5C-5D26186C34D4,No,Suspected Minor Injury,,Not Distracted,MD,38699939-6025-407B-B226-FF422A7497E6,Disabling,Twelve O Clock,Passenger Car,Moving Constant Speed,Southbound,40,No,No,2023,TOYOTA,CAMRY,39.10252965,-77.00395431,"(39.10252965, -77.00395431)"
MCP2917007V,210021102,Montgomery County Police,Property Damage Crash,06/03/2021 04:32:00 PM,County,BARBARA RD,WELLER RD,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,910C4CA6-60EB-48D7-9835-1FC40A91FF59,Yes,NO APPARENT INJURY,N/A,NO DRIVER PRESENT,MD,BBCF06C6-66AC-426D-BE4C-02E629EB21EA,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2006,MERCEDES,E350,39.06206,-77.08113167,"(39.06206, -77.08113167)"
MCP1563004R,180023950,Montgomery County Police,Property Damage Crash,05/15/2018 09:02:00 PM,,,,PARKING LOT OF 8500 16TH ST.,,,OTHER,RAINING,,DARK -- UNKNOWN LIGHTING,N/A,UNKNOWN,,6254D9DF-EAB9-4A43-BB0C-EF9A8A741AC3,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,,CE5E1DE8-6A78-44AB-91DB-0CD4F4FDF3FF,UNKNOWN,SIX OCLOCK,PASSENGER CAR,BACKING,West,0,No,No,2018,NISSAN,ALTIMA,38.9957703,-77.03660354,"(38.9957703, -77.03660354)"
EJ78370055,200038493,Gaithersburg Police Depar,Property Damage Crash,09/30/2020 04:15:00 PM,Municipality,CHRISTOPHER AVE,FREDERICK RD,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,A6023527-8311-4C10-B09E-ADACDAE71641,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,10F43543-F0BC-4E94-A659-167DA3B3DB96,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,30,No,No,2002,TOYT,CAMRY,39.15692052,-77.21434288,"(39.15692052, -77.21434288)"
MCP31540017,190039296,Montgomery County Police,Injury Crash,08/17/2019 12:07:00 PM,Maryland (State),CLOPPER RD,SCHAEFFER RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D2239632-5212-4EFF-B78C-963EECB2823A,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,C52C73C4-9425-4F7B-B738-8E3658F6397A,FUNCTIONAL,TWELVE OCLOCK,PICKUP TRUCK,SLOWING OR STOPPING,East,40,No,No,2008,CHEV,TK,39.16348833,-77.28452,"(39.16348833, -77.28452)"
MCP20460049,15051189,MONTGOMERY,Property Damage Crash,10/09/2015 08:52:00 AM,US (State),COLUMBIA PIKE,GREENCASTLE RD,,N/A,,SINGLE VEHICLE,CLEAR,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,AF6D5D6C-6D7A-48F3-90F5-57F440BFA976,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,B3090F00-F22D-4AFD-936C-D6C6C8092168,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,SKIDDING,North,55,No,No,2002,JEEP,LIBERTY,39.09567983,-76.93773866,"(39.09567983, -76.93773866)"
MCP2771003D,240013265,MONTGOMERY,Property Damage Crash,03/20/2024 08:57:00 AM,Spur,,,,,,"Sideswipe, Same Direction",Cloudy,Dry,Daylight,Other Warning Sign,"Unknown, Unknown",,E5A805F9-27C8-4B8B-8E44-9D0B214C94AB,No,,Failed to Keep in Proper Lane,Unknown,,FB0A9B38-2600-4E2F-A827-3571449D6F17,Vehicle Not at Scene,Vehicle Not at Scene,Unknown,Changing Lanes,Southbound,35,No,,0,,,39.08432909,-77.07836137,"(39.08432909, -77.07836137)"
MCP1170002N,200049507,Montgomery County Police,Injury Crash,12/16/2020 12:00:00 PM,County,BRIGGS CHANEY RD,GATESHEAD MANOR WAY,,N/A,,HEAD ON LEFT TURN,SNOW,SNOW,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,D17A6F84-F8F1-4B2A-B69E-D68083B285D4,No,NO APPARENT INJURY,"ICY OR SNOW-COVERED, RAIN, SNOW",NOT DISTRACTED,MD,1881BA77-4095-46A1-AF53-495C72022A8F,FUNCTIONAL,FIVE OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",MAKING LEFT TURN,North,45,No,No,2021,BMW,X3,39.04579167,-76.990235,"(39.04579167, -76.990235)"
MCP3246000N,200048982,Montgomery County Police,Property Damage Crash,12/12/2020 12:12:00 PM,County,CONNECTICUT AVE SERVICE RD,WELLER RD,,N/A,,STRAIGHT MOVEMENT ANGLE,N/A,N/A,N/A,TRAFFIC SIGNAL,NONE DETECTED,,C6CBE0A4-8CBC-46E0-B709-79B68DF6C390,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,855053E4-3F20-4087-BFAE-E457331CBE49,DISABLING,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,West,25,No,No,1999,TOYOTA,COROLLA,39.0633235,-77.07345767,"(39.0633235, -77.07345767)"
MCP2922000Q,16041463,Montgomery County Police,Injury Crash,08/15/2016 08:57:00 PM,County,E RANDOLPH RD,TOURMALINE CT,,N/A,,SAME DIR REAR END,RAINING,WET,DARK NO LIGHTS,N/A,N/A,,9DE1FB41-C094-4B60-9FDE-D09BBB75D5AB,Yes,SUSPECTED MINOR INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,7105FD26-C03D-4059-8E04-F6D29601B585,DISABLING,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,35,No,No,2003,TOYOTA,SOLARA,39.06576333,-76.97321333,"(39.06576333, -76.97321333)"
MCP3382002B,250026196,MONTGOMERY,Injury Crash,06/12/2025 11:57:00 AM,,,,"Driveway        4915 ASPEN HILL RD ROCKVILLE, MD",,,Front to Rear,Clear,,Daylight,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,ACDCD08B-D44D-4A14-97D9-EB64C26770B4,Yes,No Apparent Injury,,Not Distracted,MD,9EC52E18-FFAD-4FDC-8DB0-F2AA83378585,Superficial,Twelve O Clock,Passenger Car,Moving Constant Speed,Not On Roadway,0,No,No,2018,KIA,NIRO,39.07121207,-77.10055077,"(39.07121207, -77.10055077)"
