Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP3122002K,190055936,Montgomery County Police,Property Damage Crash,11/19/2019 09:35:00 AM,County,RANDOLPH RD,GOODHILL RD,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,,F00D5743-D0C5-46C1-9E64-B75141E4687F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,4AF2C4C2-0D91-44D5-B6FB-4CA3D4BE951F,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,No,No,2011,TOYOTA,CAMRY,39.05854333,-77.07077833,"(39.05854333, -77.07077833)"
MCP30950055,240022962,MONTGOMERY,Injury Crash,05/15/2024 02:45:00 PM,US (State),COLUMBIA PIKE,,,,,Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,4F36FB05-D183-4BA7-A31A-567E0C446E13,No,Suspected Minor Injury,,Not Distracted,MD,7BA2313B-4311-4702-AB18-555FE4C86467,Disabling,Six O Clock,Passenger Car,Slowing or Stopping,Northbound,50,No,No,2016,TOYOTA,CAMRY,39.05369583,-76.97521248,"(39.05369583, -76.97521248)"
MCP12570007,15003022,Montgomery County Police,Property Damage Crash,01/19/2015 02:00:00 PM,,,,parking lot of 19718 germantown rd.,,,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,B3C7AA16-0951-4C38-8663-0DFEAFBDB755,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,25443D4F-7EEA-41EC-A416-8116AD9202BD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,BACKING,South,5,Unknown,No,1995,MAZDA,4S,39.183965,-77.26362167,"(39.183965, -77.26362167)"
MCP2978002V,180064540,Montgomery County Police,Injury Crash,12/26/2018 12:00:00 PM,County,SHADY GROVE RD,FREDERICK RD,,N/A,,OTHER,CLEAR,OTHER,DAYLIGHT,N/A,UNKNOWN,,30420D3A-2060-4E86-9D37-9D74F80CC492,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,4EC1C9AB-D3D2-4310-B230-9D44E6D38EB8,UNKNOWN,UNKNOWN,PASSENGER CAR,STARTING FROM PARKED,Unknown,5,No,No,1900,FORD,F150,39.1213706,-77.1736067,"(39.1213706, -77.1736067)"
MCP27230042,190004099,Montgomery County Police,Property Damage Crash,01/26/2019 06:30:00 AM,County,TAMARACK RD,MIMOSA LA,,N/A,,SAME DIR REAR END,OTHER,DRY,DARK -- UNKNOWN LIGHTING,NO CONTROLS,N/A,,A24B1892-22F6-4F8A-B078-27287DB87F43,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,9797A107-D02D-4063-8626-21C7D18D2A1B,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2011,MERCEDES,C300,39.07715833,-76.98058,"(39.07715833, -76.98058)"
DD5624004K,200049556,Rockville Police Departme,Property Damage Crash,12/16/2020 04:55:00 PM,,,,IN PARKING LOT OF 14000,,,OTHER,RAINING,,DARK LIGHTS ON,N/A,NONE DETECTED,,E2EEBC7B-2B7B-4A61-85B6-7837A3DC05C5,No,NO APPARENT INJURY,"ICY OR SNOW-COVERED, SLEET, HAIL, FREEZ. RAIN, WET",NOT DISTRACTED,MD,11806D4B-29FE-4D88-9AFC-EEF9478B47DC,SUPERFICIAL,SEVEN OCLOCK,PASSENGER CAR,PARKED,,10,No,Yes,2010,NISSAN,SEDAN,39.08512479,-77.1203401,"(39.08512479, -77.1203401)"
MCP28920098,210013297,Montgomery County Police,Injury Crash,04/09/2021 05:42:00 PM,Maryland (State),GEORGIA AVE,FLORA LA,,N/A,,SAME DIRECTION RIGHT TURN,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,30B8FA93-01E6-495D-BB5B-AE2741E6D530,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,AB2EF2BE-5C35-49DE-95A6-738ACF9EEBC9,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,North,35,No,No,2014,HYUN,TK,39.01120833,-77.041195,"(39.01120833, -77.041195)"
EJ78660055,190006679,Gaithersburg Police Depar,Property Damage Crash,02/11/2019 01:15:00 PM,Maryland (State),W DIAMOND AVE,BUREAU DR,,GAITHERSBURG,,SAME DIRECTION RIGHT TURN,RAINING,WET,DAYLIGHT,N/A,NONE DETECTED,,B9B61ABB-C1E1-4DC3-8FA4-78F0878382BC,Yes,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",LOOKED BUT DID NOT SEE,MD,67149683-5B07-4B3F-BEC3-BEA9B0805347,DISABLING,ONE OCLOCK,(SPORT) UTILITY VEHICLE,CHANGING LANES,West,35,No,No,2016,LNDR,LR4,39.14149167,-77.21691167,"(39.14149167, -77.21691167)"
MCP3143000Y,190008814,Montgomery County Police,Property Damage Crash,02/24/2019 12:11:00 PM,County,GREENTREE RD,HEMPSTEAD AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,D66FB6C5-A8C2-461F-8CC4-EA223C0E6D86,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,6D28006D-78D4-45AE-9E79-4ED846DCB64B,DISABLING,SEVEN OCLOCK,PASSENGER CAR,STARTING FROM LANE,South,35,No,No,2011,HONDA,PILOT,39.00072,-77.11586167,"(39.00072, -77.11586167)"
MCP3179000F,190016056,Montgomery County Police,Property Damage Crash,04/06/2019 08:28:00 PM,Maryland (State),VEIRS MILL RD,HAVARD ST,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,2D419C33-F892-45D0-A848-7259A5158B6E,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,413E0E65-13AF-4B4A-AD3E-1468AB045826,SUPERFICIAL,TWO OCLOCK,PASSENGER CAR,CHANGING LANES,East,45,No,No,1997,HONDA,ACCORD,39.05844413,-77.08669529,"(39.05844413, -77.08669529)"
